Name,TE_Rank,Vegas_Rank,Differential,Receiving_Yards,Receiving_Yard_Points,Receiving_TDs,Receiving_TD_Points,Receptions,Receptions_Points,Total
Brock Bowers,1,1,0,1000,100,4.5,27,90,90,217
Trey McBride,2,2,0,875,87.5,4.5,27,90,90,204.5
George Kittle,3,3,0,875,87.5,6.5,39,65,65,191.5
Sam LaPorta,4,4,0,650,65,6.5,39,65,65,169
David Njoku,9,5,4,675,67.5,5.5,33,60,60,160.5
Travis Kelce,5,6,-1,650,65,4.5,27,65,65,157
TJ Hockenson,6,7,-1,700,70,3.5,21,65,65,156
Colston Loveland,11,8,3,675,67.5,4.5,27,55,55,149.5
Tyler Warren,12,9,3,600,60,4.5,27,55,55,142
Mark Andrews,7,10,-3,550,55,5.5,33,50,50,138
Evan Engram,10,11,-1,550,55,3.5,21,60,60,136
Jake Ferguson,16,12,4,525,52.5,3.5,21,60,60,133.5
Dallas Goedert,14,13,1,575,57.5,3.5,21,50,50,128.5
Tucker Kraft,13,14,-1,575,57.5,3.5,21,50,50,128.5
HUnter Henry,20,15,5,575,57.5,3.5,21,50,50,128.5
Zach Ertz,17,16,1,500,50,4.5,27,50,50,127
Dalton Kincaid,15,17,-2,550,55,3.5,21,50,50,126
Kyle Pitts,18,18,0,500,50,2.5,15,50,50,115
Jonnu Smith ,8,19,-11,575,57.5,2.5,15,40,40,112.5
Cade Otton,27,20,7,475,47.5,3.5,21,40,40,108.5
Mike Gesiki,26,21,5,400,40,2.5,15,50,50,105
Dalton Schultz,29,22,7,450,45,2.5,15,45,45,105
Mason Taylor,25,23,2,450,45,2.5,15,45,45,105
Brenton Strange,22,24,-2,425,42.5,2.5,15,45,45,102.5
Chig Okonkwo,28,25,3,475,47.5,2.5,15,40,40,102.5
Isiah Likely,19,26,-7,450,45,3.5,21,35,35,101
Pat Friermuth,23,27,-4,550,55,2.5,15,30,30,100
Darren Waller,21,28,-7,450,45,2.5,15,40,40,100
Juwan Johnson,24,29,-5,450,45,2.5,15,40,40,100
Ja' Tavion Sanders,32,30,2,400,40,2.5,15,40,40,95
Elijah Arroyo,33,31,2,400,40,2.5,15,40,40,95
Theo Johnson,34,32,2,400,40,2.5,15,40,40,95
Terrance Ferguson,31,33,-2,200,20,1.5,9,20,20,49
