Name,WR_Rank,Vegas_Draft_Position,Difference,Receiving_Yards,Receiving_Yards_Points,Receptions,Recption_Points,Receiving_TDs,Receving_TD_Points,Total_Points,,,,
Ja'Marr Chase,1,1,0,1250,125,112,112,9.5,57,294,,,,
Justin Jefferson ,2,2,0,1200,120,99,99,9.5,57,276,,yards,0.1,per yard
CeeDee Lamb ,3,3,0,1150,115,104,104,6.5,39,258,,,,
Amon Ra St Brown ,5,4,1,1000,100,103,103,8.5,51,254,,receptions,1,per reception
Puka Nacua,4,5,-1,1175,117.5,97,97,5.5,33,247.5,,,,
Malik Nabers,6,6,0,1050,105,100,100,6.5,39,244,,TD,6,per td
Brian Thomas ,7,7,0,1125,112.5,92,92,6.5,39,243.5,,,,
Nico Collins,8,8,0,1100,110,89,89,6.5,39,238,,,,
Drae London,9,9,0,1000,100,90,90,6.5,39,229,,,,
Tyreek HIll,12,10,2,950,95,88,88,7.5,45,228,,,,
DJ Moore,22,11,11,1025,102.5,80,80,6.5,39,221.5,,,,
Davante Adams,16,12,4,900,90,79,79,8.5,51,220,,,,
AJ Brown ,10,13,-3,1000,100,80,80,6.5,39,219,,,,
Ladd McConkey,11,14,-3,950,95,88,88,5.5,33,216,,,,
Terry McLaurin,15,15,0,975,97.5,79,79,6.5,39,215.5,,,,
Jaxon Smith Njigba,14,16,-2,925,92.5,85,85,5.5,33,210.5,,,,
DK Metcalf,21,17,4,925,92.5,70,70,7.5,45,207.5,,,,
Tee Higgins,13,18,-5,900,90,77,77,6.5,39,206,,,,
Marvin Harrison ,17,19,-2,900,90,75,75,6.5,39,204,,,,
Mike Evans,19,20,-1,875,87.5,70,70,7.5,45,202.5,,,,
Rashee Rice,20,21,-1,925,92.5,77,77,5.5,33,202.5,,,,
Garrett Wilson,18,22,-4,925,92.5,80,80,4.5,27,199.5,,,,
Xavier Worthy,25,23,2,900,90,70,70,6.5,39,199,,,,
Courtland Sutton,24,24,0,850,85,70,70,6.5,39,194,,,,
Calvin Ridley,30,25,5,900,90,70,70,5.5,33,193,,,,
ZAy Flowers,26,26,0,900,90,70,70,4.5,27,187,,,,
Devonta Smith,23,27,-4,775,77.5,75,75,5.5,33,185.5,,,,
Juan Jennings,43,28,15,850,85,65,65,5.5,33,183,,,,
Chris Godwin,32,29,3,725,72.5,70,70,6.5,39,181.5,,,,
Jerry Jeudy,33,30,3,900,90,70,70,3.5,21,181,,,,
Jakobi Meyers,39,31,8,775,77.5,75,75,4.5,27,179.5,,,,
Jordan Addison,34,32,2,725,72.5,60,60,7.5,45,177.5,,,,
Tetairoa McMillan,27,33,-6,750,75,75,75,4.5,27,177,,,,
Jameson Williams,28,34,-6,850,85,59,59,5.5,33,177,,,,
Jaylen Waddle,38,35,3,850,85,70,70,3.5,21,176,,,,
Rome Odunze,37,36,1,775,77.5,65,65,5.5,33,175.5,,,,
George Pickens,29,37,-8,800,80,65,65,4.5,27,172,,,,
Stefon Diggs,40,38,2,725,72.5,70,70,4.5,27,169.5,,,,
Khalil Shakir,45,39,6,750,75,70,70,3.5,21,166,,,,
Travis Hunter,31,40,-9,725,72.5,65,65,4.5,27,164.5,,,,
Cooper Kupp,41,41,0,675,67.5,64,64,5.5,33,164.5,,,,
Chris Olave,36,42,-6,825,82.5,60,60,3.5,21,163.5,,,,
Michael Pittman ,46,43,3,750,75,65,65,3.5,21,161,,,,
Keon Coleman,52,44,8,750,75,55,55,4.5,27,157,,,,
Ricky Pearsall,48,45,3,750,75,60,60,3.5,21,156,,,,
Jayden Higgins,50,46,4,650,65,55,55,5.5,33,153,,,,
Rashee Shaheed,58,47,11,700,70,55,55,4.5,27,152,,,,
MAtthew Golden,47,48,-1,650,65,59,59,4.5,27,151,,,,
Josh Downs,51,49,2,650,65,65,65,3.5,21,151,,,,
Darnell Mooney,49,50,-1,675,67.5,55,55,4.5,27,149.5,,,,
Jayden Reed,42,51,-9,650,65,55,55,4.5,27,147,,,,
Deebo Samuel,35,52,-17,650,65,60,60,3.5,21,146,,,,
Josh Palmer,75,53,22,650,65,50,50,4.5,27,142,,,,
Brandon Aiyuk,44,54,-10,700,70,50,50,3.5,21,141,,,,
Emeka Egbuka,52,55,-3,550,55,55,55,4.5,27,137,,,,
Chrisian Kirk,56,56,0,550,55,59,59,3.5,21,135,,,,
Tre Harris,54,57,-3,575,57.5,55,55,3.5,21,133.5,,,,
Luther Burden,66,59,7,600,60,50,50,3.5,21,131,,,,
Xavier LEgette,73,61,12,575,57.5,40,40,4.5,27,124.5,,,,
Cedric Tillman,60,62,-2,675,67.5,40,40,2.5,15,122.5,,,,
Rashod Bateman,55,63,-8,525,52.5,45,45,3.5,21,118.5,,,,
Michael Wilson,80,64,16,525,52.5,40,40,2.5,15,107.5,,,,
Darius Slayton,81,65,16,500,50,35,35,2.5,15,100,,,,
DeAndre Hopkins,71,66,5,425,42.5,35,35,3.5,21,98.5,,,,
